,Order,Seasonal Order,MAPE,AIC,BIC
0,"(0, 1, 0)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
1,"(0, 1, 0)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
2,"(0, 1, 0)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
3,"(0, 1, 0)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
4,"(0, 1, 0)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
5,"(0, 1, 0)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
6,"(0, 1, 0)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
7,"(0, 1, 0)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
8,"(0, 1, 0)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
9,"(0, 1, 1)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
10,"(0, 1, 1)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
11,"(0, 1, 1)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
12,"(0, 1, 1)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
13,"(0, 1, 1)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
14,"(0, 1, 1)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
15,"(0, 1, 1)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
16,"(0, 1, 1)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
17,"(0, 1, 1)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
18,"(0, 1, 2)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
19,"(0, 1, 2)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
20,"(0, 1, 2)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
21,"(0, 1, 2)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
22,"(0, 1, 2)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
23,"(0, 1, 2)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
24,"(0, 1, 2)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
25,"(0, 1, 2)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
26,"(0, 1, 2)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
27,"(0, 1, 3)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
28,"(0, 1, 3)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
29,"(0, 1, 3)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
30,"(0, 1, 3)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
31,"(0, 1, 3)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
32,"(0, 1, 3)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
33,"(0, 1, 3)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
34,"(0, 1, 3)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
35,"(0, 1, 3)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
36,"(0, 1, 4)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
37,"(0, 1, 4)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
38,"(0, 1, 4)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
39,"(0, 1, 4)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
40,"(0, 1, 4)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
41,"(0, 1, 4)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
42,"(0, 1, 4)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
43,"(0, 1, 4)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
44,"(0, 1, 4)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
45,"(1, 1, 0)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
46,"(1, 1, 0)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
47,"(1, 1, 0)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
48,"(1, 1, 0)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
49,"(1, 1, 0)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
50,"(1, 1, 0)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
51,"(1, 1, 0)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
52,"(1, 1, 0)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
53,"(1, 1, 0)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
54,"(1, 1, 1)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
55,"(1, 1, 1)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
56,"(1, 1, 1)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
57,"(1, 1, 1)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
58,"(1, 1, 1)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
59,"(1, 1, 1)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
60,"(1, 1, 1)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
61,"(1, 1, 1)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
62,"(1, 1, 1)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
63,"(1, 1, 2)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
64,"(1, 1, 2)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
65,"(1, 1, 2)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
66,"(1, 1, 2)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
67,"(1, 1, 2)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
68,"(1, 1, 2)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
69,"(1, 1, 2)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
70,"(1, 1, 2)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
71,"(1, 1, 2)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
72,"(1, 1, 3)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
73,"(1, 1, 3)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
74,"(1, 1, 3)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
75,"(1, 1, 3)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
76,"(1, 1, 3)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
77,"(1, 1, 3)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
78,"(1, 1, 3)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
79,"(1, 1, 3)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
80,"(1, 1, 3)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
81,"(1, 1, 4)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
82,"(1, 1, 4)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
83,"(1, 1, 4)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
84,"(1, 1, 4)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
85,"(1, 1, 4)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
86,"(1, 1, 4)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
87,"(1, 1, 4)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
88,"(1, 1, 4)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
89,"(1, 1, 4)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
90,"(2, 1, 0)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
91,"(2, 1, 0)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
92,"(2, 1, 0)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
93,"(2, 1, 0)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
94,"(2, 1, 0)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
95,"(2, 1, 0)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
96,"(2, 1, 0)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
97,"(2, 1, 0)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
98,"(2, 1, 0)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
99,"(2, 1, 1)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
100,"(2, 1, 1)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
101,"(2, 1, 1)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
102,"(2, 1, 1)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
103,"(2, 1, 1)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
104,"(2, 1, 1)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
105,"(2, 1, 1)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
106,"(2, 1, 1)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
107,"(2, 1, 1)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
108,"(2, 1, 2)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
109,"(2, 1, 2)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
110,"(2, 1, 2)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
111,"(2, 1, 2)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
112,"(2, 1, 2)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
113,"(2, 1, 2)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
114,"(2, 1, 2)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
115,"(2, 1, 2)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
116,"(2, 1, 2)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
117,"(2, 1, 3)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
118,"(2, 1, 3)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
119,"(2, 1, 3)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
120,"(2, 1, 3)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
121,"(2, 1, 3)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
122,"(2, 1, 3)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
123,"(2, 1, 3)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
124,"(2, 1, 3)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
125,"(2, 1, 3)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
126,"(2, 1, 4)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
127,"(2, 1, 4)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
128,"(2, 1, 4)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
129,"(2, 1, 4)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
130,"(2, 1, 4)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
131,"(2, 1, 4)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
132,"(2, 1, 4)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
133,"(2, 1, 4)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
134,"(2, 1, 4)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
135,"(3, 1, 0)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
136,"(3, 1, 0)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
137,"(3, 1, 0)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
138,"(3, 1, 0)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
139,"(3, 1, 0)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
140,"(3, 1, 0)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
141,"(3, 1, 0)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
142,"(3, 1, 0)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
143,"(3, 1, 0)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
144,"(3, 1, 1)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
145,"(3, 1, 1)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
146,"(3, 1, 1)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
147,"(3, 1, 1)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
148,"(3, 1, 1)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
149,"(3, 1, 1)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
150,"(3, 1, 1)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
151,"(3, 1, 1)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
152,"(3, 1, 1)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
153,"(3, 1, 2)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
154,"(3, 1, 2)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
155,"(3, 1, 2)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
156,"(3, 1, 2)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
157,"(3, 1, 2)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
158,"(3, 1, 2)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
159,"(3, 1, 2)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
160,"(3, 1, 2)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
161,"(3, 1, 2)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
162,"(3, 1, 3)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
163,"(3, 1, 3)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
164,"(3, 1, 3)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
165,"(3, 1, 3)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
166,"(3, 1, 3)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
167,"(3, 1, 3)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
168,"(3, 1, 3)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
169,"(3, 1, 3)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
170,"(3, 1, 3)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
171,"(3, 1, 4)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
172,"(3, 1, 4)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
173,"(3, 1, 4)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
174,"(3, 1, 4)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
175,"(3, 1, 4)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
176,"(3, 1, 4)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
177,"(3, 1, 4)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
178,"(3, 1, 4)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
179,"(3, 1, 4)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
180,"(4, 1, 0)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
181,"(4, 1, 0)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
182,"(4, 1, 0)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
183,"(4, 1, 0)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
184,"(4, 1, 0)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
185,"(4, 1, 0)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
186,"(4, 1, 0)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
187,"(4, 1, 0)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
188,"(4, 1, 0)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
189,"(4, 1, 1)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
190,"(4, 1, 1)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
191,"(4, 1, 1)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
192,"(4, 1, 1)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
193,"(4, 1, 1)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
194,"(4, 1, 1)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
195,"(4, 1, 1)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
196,"(4, 1, 1)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
197,"(4, 1, 1)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
198,"(4, 1, 2)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
199,"(4, 1, 2)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
200,"(4, 1, 2)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
201,"(4, 1, 2)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
202,"(4, 1, 2)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
203,"(4, 1, 2)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
204,"(4, 1, 2)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
205,"(4, 1, 2)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
206,"(4, 1, 2)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
207,"(4, 1, 3)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
208,"(4, 1, 3)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
209,"(4, 1, 3)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
210,"(4, 1, 3)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
211,"(4, 1, 3)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
212,"(4, 1, 3)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
213,"(4, 1, 3)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
214,"(4, 1, 3)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
215,"(4, 1, 3)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
216,"(4, 1, 4)","(0, 0, 0, 12)",0.05552720392195154,717.17,734.0
217,"(4, 1, 4)","(0, 0, 1, 12)",0.05552720392195154,717.17,734.0
218,"(4, 1, 4)","(0, 0, 2, 12)",0.05552720392195154,717.17,734.0
219,"(4, 1, 4)","(1, 0, 0, 12)",0.05552720392195154,717.17,734.0
220,"(4, 1, 4)","(1, 0, 1, 12)",0.05552720392195154,717.17,734.0
221,"(4, 1, 4)","(1, 0, 2, 12)",0.05552720392195154,717.17,734.0
222,"(4, 1, 4)","(2, 0, 0, 12)",0.05552720392195154,717.17,734.0
223,"(4, 1, 4)","(2, 0, 1, 12)",0.05552720392195154,717.17,734.0
224,"(4, 1, 4)","(2, 0, 2, 12)",0.05552720392195154,717.17,734.0
